tilt_deg,center_height_A,min_cc_A,Jhole_total_eht_meV,Jhole_total_race_meV,Jelectron_total_eht_meV,Jelectron_total_race_meV
0,3.330259474444336,3.4,25.288744174986068,24.151228184372936,15.807577079921337,15.338511769606878
15,3.700803949505662,3.3999999999999995,14.752993831135784,14.373093040199707,10.05229073934705,9.69898360813002
30,4.0609285214300765,3.3999999999999995,10.937305769173765,10.85081344594761,8.923372674372112,9.10100818052655
45,4.375331896076103,3.4,7.91698637958623,7.7391288706006565,7.45728479756982,7.436319990608765
60,4.608297172639473,3.3999999999999995,5.234001011844138,4.7271744997456056,5.3688703322166855,4.77517316087291
75,4.7297442489032395,3.4000000000000004,2.8588927157941386,2.973738213188325,3.0347564894994306,3.0219615845159185
