label,Li_onsite_eV,C_Li_scale,T_short_mean,T_short_std,T_long_mean,T_long_std,ever_Li_mean,ever_Li_std,censored_Li_mean,entries_mean
bypass,0.25,0.2,0.9816666666666667,0.0047559486560567014,1.0,0.0,0.00011111111111111112,0.0002932214793954153,0.0,0.00011111111111111112
coupling_edge,-0.3,0.05,0.7506666666666667,0.015594056661901745,0.7564444444444444,0.01496181205956748,0.24416666666666667,0.015013221686128056,0.9740325302431037,0.24422222222222223
deep,-0.4,0.2,0.4527777777777778,0.01510107042703689,0.45305555555555554,0.01494589005812733,0.5469444444444445,0.014945890058127322,0.9991984841137871,0.5470555555555555
deep_strong,-0.3,1.0,0.17077777777777778,0.0076601076152524586,0.17755555555555555,0.007627661301553506,0.8299444444444445,0.00800834551474885,1.0,0.8766666666666667
intermediate,0.0,0.2,0.9785,0.0037294409981564543,1.0,0.0,0.5382222222222222,0.014799810523597655,0.9802607072214915,1.226888888888889
transient,-0.1,0.2,0.7544444444444445,0.007511014839244089,1.0,0.0,0.5469444444444445,0.014945890058127322,0.9981825766826915,1.269
