interlayer_scale,n_realizations,D1_mean,D1_std,D1_sem,D2_mean,D2_std,D2_sem,D3_mean,D3_std,D3_sem,anisotropy_principal_mean,anisotropy_principal_std,anisotropy_principal_sem,anisotropy_plane_mean,anisotropy_plane_std,anisotropy_plane_sem
0.01,12,4.856495973808031e-08,1.333082650917662e-09,3.8482781367966603e-10,3.679891841163928e-08,1.4250519844625038e-09,4.113770734193185e-10,1.3133053424555146e-09,4.8124071508143534e-11,1.3892222819863735e-11,32.52395594359562,1.0306852623298026,0.2975332068279458,36.5700809497309,1.0551445574448812,0.3045939971373854
0.02,12,4.960603413766183e-08,1.5452911978963076e-09,4.4608714454089626e-10,3.7435666805366984e-08,7.538346919195289e-10,2.1761333115210934e-10,2.6259885141519695e-09,9.287706264749593e-11,2.6811298560536757e-11,16.593490134700314,0.7271344288462465,0.2099056291157126,18.633749734308957,0.9114675189986603,0.26311800872573843
0.05,12,5.0899742636362324e-08,1.3290509429394232e-09,3.83663959836401e-10,3.867191248722532e-08,1.2864598064580512e-09,3.7136895778009487e-10,6.449113158812289e-09,1.3722803602044964e-10,3.961432176838513e-11,6.9478082179928435,0.2085892626592126,0.060214533473180974,7.73606389496513,0.23084637527599805,0.06663960845352343
0.1,12,5.49036390192625e-08,1.6145337151958269e-09,4.660757375420186e-10,4.1167407430253656e-08,1.3456868439121508e-09,3.8846633078880914e-10,1.2286666145450794e-08,4.21263920656841e-10,1.2160841899555215e-10,3.912705042180221,0.132991798295129,0.038391425272852574,4.340401012033085,0.14850589378498494,0.042869958876503515
0.2,12,5.8909106976337446e-08,2.2009413582355666e-09,6.353570428239425e-10,4.656166901075287e-08,1.5630629280954942e-09,4.5121740114812914e-10,2.37016188506354e-08,5.833217153388929e-10,1.6839047468753205e-10,2.225916778283812,0.06495894576856164,0.018752032412876683,2.3575389811178202,0.08925135776296021,0.025764647714992338
0.5,12,7.460284602796962e-08,3.2010840913204943e-09,9.24073380911258e-10,6.6160648263577e-08,1.7702827959371393e-09,5.110366243880354e-10,4.6905436332747763e-08,1.4315251041801965e-09,4.132457021250718e-10,1.501751676165678,0.06024325674566927,0.017390730249485946,1.278615902337777,0.06742827494792497,0.01946486634608829
1.0,12,1.1465023733879056e-07,3.3930404432067927e-09,9.794864066283645e-10,9.861678803236756e-08,3.355985692035049e-09,9.68789621346484e-10,6.44507809373866e-08,2.0616097930580304e-09,5.951354844930113e-10,1.6558994226433386,0.05762239241195313,0.016634151885195698,0.903006933847124,0.046694185003800195,0.013479450140767115
