mode,realization,T_eff,reduced_tau,mean_hops,mean_tortuosity,W_visit_fraction
zero_site_contrast,0,1.0,3.925693855661277,9.691666666666666,4.382627093717309,0.4827586206896552
zero_site_contrast,1,1.0,4.258866312422449,10.546666666666667,4.69539901556623,0.4870689655172414
zero_site_contrast,2,1.0,4.077152561885271,10.095,4.5126406321045955,0.48595213319458896
zero_site_contrast,3,1.0,4.05599527632153,10.111666666666666,4.5508977763410545,0.4863013698630137
zero_site_contrast,4,1.0,3.9302340097291473,9.811666666666667,4.345792181582756,0.4879053010808029
zero_site_contrast,5,1.0,3.8792620007788274,9.5275,4.289218293885719,0.48090371167294244
zero_site_contrast,6,1.0,3.991202729263663,9.960833333333333,4.563495941029185,0.4822112753147236
zero_site_contrast,7,1.0,4.244762274879644,10.381666666666666,4.621002468480332,0.48755284170972285
zero_site_contrast,8,1.0,4.141655083620649,9.978333333333333,4.586560193000879,0.48457943925233643
zero_site_contrast,9,1.0,4.1005811446654326,10.16,4.636032060107278,0.48220064724919093
EHT_raw_site_contrast,0,1.0,239.30836728954597,3.7525,2.442419051064192,0.0405727923627685
EHT_raw_site_contrast,1,1.0,235.7597420569355,3.6575,2.3803985888996344,0.06973995271867613
EHT_raw_site_contrast,2,1.0,234.0137276051182,3.7,2.450177701072917,0.06148055207026349
EHT_raw_site_contrast,3,1.0,240.4647777091091,3.7591666666666668,2.4424351859385767,0.060714285714285714
EHT_raw_site_contrast,4,1.0,234.7947190359025,3.776666666666667,2.439838651058043,0.05597416576964478
EHT_raw_site_contrast,5,1.0,237.4518843994536,3.734166666666667,2.4177586129882087,0.050742574257425746
EHT_raw_site_contrast,6,1.0,225.74425210750516,3.6275,2.3700106185643133,0.04519119351100811
EHT_raw_site_contrast,7,1.0,230.19941309684154,3.7158333333333333,2.389749230611522,0.043580683156654886
EHT_raw_site_contrast,8,1.0,233.09999746958263,3.6041666666666665,2.3725746916633703,0.05289052890528905
EHT_raw_site_contrast,9,1.0,232.17668105860682,3.72,2.4333901579429336,0.05355064027939464
