delta_site_eV,homobond_scale,n_realizations,T_eff_mean,T_eff_std,T_eff_sem,reduced_tau_mean,reduced_tau_std,reduced_tau_sem,mean_tortuosity_mean,mean_tortuosity_std,mean_tortuosity_sem,O_visit_fraction_mean,O_visit_fraction_std,O_visit_fraction_sem,W_visit_fraction_mean,W_visit_fraction_std,W_visit_fraction_sem
0.0,0.03,20,1.0,0.0,0.0,13.990466459392588,0.36150868721207374,0.08083579990629058,4.14182612026155,0.11382830278919737,0.02545278228000742,0.5258739702132434,0.0045911065413842085,0.001026602631847904,0.47412602978675655,0.004591106541384228,0.0010266026318479086
0.0,0.1,20,1.0,0.0,0.0,11.99218656352522,0.3227630814259312,0.07217201906956819,3.8674006553847704,0.08550613717605748,0.019119753521908645,0.5572949440660853,0.005735449745204364,0.0012824855511810805,0.44270505593391485,0.005735449745204359,0.0012824855511810796
0.0,0.3,20,1.0,0.0,0.0,8.905697592485607,0.23708591378504457,0.053014021973101406,3.537220653644765,0.07673708520273598,0.017158933890851085,0.6199528366770217,0.007382470560692665,0.0016507706015599787,0.3800471633229782,0.007382470560692673,0.0016507706015599804
0.0,1.0,20,1.0,0.0,0.0,4.633694679014364,0.14451561370743035,0.03231467360599147,3.0128546337366715,0.07401006154364845,0.016549152863054094,0.7409659035587728,0.013546116452721819,0.00302900372194143,0.25903409644122727,0.013546116452721808,0.003029003721941428
0.25,0.03,20,1.0,0.0,0.0,167.69348110542052,5.239411034577752,1.1715679235378353,2.51489966254319,0.05715832679280119,0.0127809904188851,0.9479350188339526,0.007483256674796983,0.001673307061792509,0.052064981166047485,0.007483256674796983,0.001673307061792509
0.25,0.1,20,1.0,0.0,0.0,49.32566922140294,0.8376934355700575,0.18731394662399886,2.5093117065610437,0.042161551191040175,0.009427609450000304,0.9447474516674127,0.007942387809799448,0.0017759719046377236,0.05525254833258708,0.007942387809799452,0.0017759719046377244
0.25,0.3,20,1.0,0.0,0.0,16.82110433525853,0.4102877294303523,0.09174312533403088,2.533987990236563,0.04485627514192678,0.010030168043478229,0.9490114482989747,0.009292605490954002,0.0020778897565860953,0.05098855170102531,0.009292605490953999,0.002077889756586095
0.25,1.0,20,1.0,0.0,0.0,5.151851346994332,0.12752047017393617,0.02851444398316557,2.5186484005606604,0.04357913220076522,0.009744590200136103,0.9461275920446306,0.009457313885427691,0.0021147196732368974,0.05387240795536939,0.009457313885427695,0.0021147196732368982
0.5,0.03,20,1.0,0.0,0.0,167.523887751828,5.4053833448387465,1.2086804603504624,2.546781568055877,0.052629994985933605,0.011768424644402063,0.9480697484976763,0.007606027332754313,0.0017007594154760056,0.05193025150232357,0.007606027332754322,0.0017007594154760076
0.5,0.1,20,1.0,0.0,0.0,50.18441765982019,1.928834241983417,0.4313004482404199,2.525813546111584,0.06352069295708854,0.014203658742994209,0.9495900240189826,0.007580795162234062,0.0016951173306256908,0.05040997598101736,0.007580795162234054,0.001695117330625689
0.5,0.3,20,1.0,0.0,0.0,16.92424592094942,0.5363395334820265,0.11992916558863356,2.53812022480444,0.06685423706183678,0.014949061865415284,0.9474523855725987,0.006730223645017915,0.0015049237574036472,0.05254761442740121,0.006730223645017931,0.0015049237574036507
0.5,1.0,20,1.0,0.0,0.0,5.121303104847671,0.16326906837682262,0.03650807355136366,2.522755795996325,0.063571709730141,0.014215066440248007,0.9495587055069322,0.008413962066106945,0.0018814191139919707,0.050441294493067744,0.008413962066106942,0.00188141911399197
1.0,0.03,20,1.0,0.0,0.0,167.2848592580511,5.4752170864570076,1.2242957596886213,2.528941286128071,0.06426337560803809,0.014369727632317504,0.9506497619638694,0.007629911491942185,0.0017061000758289565,0.04935023803613066,0.007629911491942173,0.0017061000758289537
1.0,0.1,20,1.0,0.0,0.0,50.004567427196214,1.0068131406295469,0.2251302623087722,2.528571707357975,0.05568976477862775,0.012452609969598516,0.9511518371829668,0.008344824978770765,0.0018659595912869668,0.048848162817033206,0.008344824978770772,0.0018659595912869683
1.0,0.3,20,1.0,0.0,0.0,16.920433367317354,0.5541724268479153,0.12391672176879681,2.5421760489502874,0.06411524333448074,0.014336604248983921,0.9483407483698365,0.008649755898513703,0.0019341442177856411,0.05165925163016373,0.008649755898513694,0.0019341442177856392
1.0,1.0,20,1.0,0.0,0.0,5.182632963617055,0.14762215201283904,0.033009316688551546,2.53259046113863,0.0406359380105583,0.009086471972107593,0.9509940702552939,0.008896588483080352,0.0019893376616009406,0.049005929744706175,0.00889658848308036,0.0019893376616009423
