theta_deg,center_distance_A,min_cc_A,J_hole_eV,J_electron_eV
0,3.399999999999999,3.4,0.030312044215684602,0.019654664858666526
15,3.7607843513782186,3.4,0.014568804981470566,0.00874467912169882
30,4.092481582033457,3.4,0.00892867677802003,0.004944863570597398
45,4.361940872089069,3.4,0.00567030141078152,0.002633678381326236
60,4.535980164350945,3.4,0.002788429402011788,0.0008211013279057015
75,4.586621415504837,3.4,0.0012206127268149256,0.00034663060657976976
90,4.4957775567409115,3.4,0.0030637113774915317,0.0006362942843045483
