initial_distribution,observation_time_s,D_parallel_mean,D_parallel_std,D_perp_mean,D_perp_std,mean_hops_mean,mean_hops_std
equilibrium,1e-11,2.9116071965617894e-09,4.3873417140664235e-10,3.389745226407351e-09,1.7250622189576458e-10,4.818666666666666,0.23393446375712432
equilibrium,2e-11,3.0025247665948966e-09,1.2563503294979659e-10,3.7177518244750754e-09,3.949721461954944e-10,9.779333333333334,0.2524308486166723
equilibrium,4e-11,3.0530818274478335e-09,1.4452225104502892e-10,3.5844380012012874e-09,1.1622105412505615e-10,19.719333333333335,0.21537254544935178
equilibrium,8e-11,3.293380541129598e-09,4.917182699045742e-11,3.433924631360664e-09,2.1266758668161194e-10,39.76666666666667,0.1591770502721198
uniform,1e-11,3.375230071923724e-09,1.9770351835238737e-10,3.580738114857449e-09,2.0388835338784166e-11,5.3133333333333335,0.10092241244309062
uniform,2e-11,3.428489915465147e-09,1.1822572711221955e-10,3.497497064635277e-09,2.0877284414996154e-10,10.206666666666665,0.0011547005383802781
uniform,4e-11,3.170134179602463e-09,2.2887034217239993e-10,3.457265777878361e-09,2.1403335305011343e-10,20.236,0.34863734739697444
uniform,8e-11,3.296926118298876e-09,7.989863831258525e-11,3.3942217622145617e-09,2.4593421562556e-10,40.220666666666666,0.2744108841378843
